index,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
0,Ushuaia,-54.81,-68.31,49.21,57,75,18.34
1,Palmer,-34.85,139.16,59,72,0,10.29
2,Ranong,9.96,98.62,77,100,75,6.96
3,Hidalgo,26.1,-98.26,92.37,52,40,9.17
4,Kavaratti,10.57,72.64,78.86,100,24,3.94
5,Kalmunai,7.42,81.82,74.45,100,56,3.83
6,Pangnirtung,66.15,-65.72,28.4,58,20,17.22
7,Saskylakh,71.97,114.09,38.36,93,92,10.98
8,Yumen,40.29,97.04,28.73,59,0,3.94
9,Cuiaba,-15.6,-56.1,84.53,79,36,3.38
10,Albany,42.65,-73.75,60.33,77,90,11.41
11,Hermanus,-34.42,19.24,64.28,73,0,8.3
12,Shillong,25.58,91.88,80.6,94,40,2.59
13,Kuching,1.56,110.34,77,88,75,3.36
14,Hilo,19.71,-155.08,68.34,93,90,8.08
15,Cidreira,-30.17,-50.22,65.99,73,36,14.9
16,Rikitea,-23.12,-134.97,67.52,100,100,20.04
17,Pedasi,7.53,-80.03,81.11,100,0,8.63
18,korla,,,,,,
19,asau,,,,,,
20,Kununurra,-15.77,128.74,75.2,69,0,2.59
21,Bethel,60.79,-161.76,46.04,85,90,5.82
22,Kapaa,22.08,-159.32,77.79,78,75,4.7
23,Labuhan,-2.54,115.51,71.66,97,20,1.7
24,ruatoria,,,,,,
25,Mlonggo,-6.53,110.7,78.14,96,0,7.07
26,Pevek,69.7,170.27,35.12,100,80,2.59
27,Fairbanks,64.84,-147.72,36.41,16,90,3.6
28,Kavieng,-2.57,150.8,82.82,100,32,5.73
29,Chokurdakh,70.62,147.9,27.11,93,64,8.08
30,Bredasdorp,-34.53,20.04,66.2,82,88,10.29
31,Saint-Philippe,45.36,-73.48,51.76,76,90,6.93
32,Granadilla de Abona,28.12,-16.58,72.12,78,20,6.93
33,Busselton,-33.64,115.35,57.71,100,64,17.02
34,Kongolo,-5.39,27,73.55,92,32,2.48
35,taolanaro,,,,,,
36,Westport,53.8,-9.52,46.4,75,0,5.82
37,Lethbridge,49.69,-112.85,44.6,83,20,6.93
38,Maldonado,-34.91,-54.96,62.6,63,0,14.99
39,Punta Arenas,-53.16,-70.91,55.4,50,75,23.04
40,Dikson,73.51,80.55,39.08,97,32,13.56
41,Atuona,-9.8,-139.03,79.22,100,12,8.75
42,Bluff,-23.58,149.07,65.36,88,0,7.4
43,Beringovskiy,63.05,179.32,46.01,99,88,19.82
44,Yellowknife,62.45,-114.38,28.4,68,75,14.99
45,Genhe,50.78,121.52,20.09,78,20,2.71
46,Puerto Ayora,-0.74,-90.35,78.8,57,20,19.46
47,Teya,21.05,-89.07,89.6,59,75,4.7
48,Cabo San Lucas,22.89,-109.91,90.54,49,5,4.7
49,Afareaitu,-17.55,-149.78,78.8,65,75,1.12
50,Leningradskiy,69.38,178.42,36.02,98,92,7.4
51,Mar del Plata,-46.43,-67.52,66.35,33,0,17.58
52,Barrow,-38.31,-60.23,72.74,39,8,20.71
53,Alofi,-19.06,-169.92,68,100,44,1.12
54,Torbay,47.66,-52.73,50,71,75,6.93
55,Sioux Lookout,50.1,-91.92,38.12,86,90,4.7
56,Cape Town,-33.93,18.42,69.8,68,0,9.17
57,Provideniya,64.42,-173.23,45.02,100,88,23.29
58,Severo-Kurilsk,50.68,156.12,46.19,92,48,17.36
59,Nikolskoye,59.7,30.79,48.2,87,0,4.47
60,Morant Bay,17.88,-76.41,84.2,70,75,12.75
61,Cairns,-16.92,145.77,73.4,83,75,1.92
62,Aku,7.36,7.54,80.75,83,36,4.83
63,Lebu,8.96,38.73,55.1,44,8,5.84
64,Carnarvon,-30.97,22.13,63.65,13,20,5.61
65,Chancay,-11.56,-77.27,71.84,62,12,4.61
66,grand river south east,,,,,,
67,Hasaki,35.73,140.83,77,83,20,17.22
68,Berlevag,70.86,29.09,30.71,100,0,8.3
69,Port Alfred,-33.59,26.89,68.24,92,76,12.66
70,Galesong,-5.32,119.37,74.36,93,0,7.74
71,Naryan-Mar,67.67,53.09,35.93,100,56,18.7
72,North Myrtle Beach,33.83,-78.68,85.21,69,1,5.82
73,bur gabo,,,,,,
74,Georgetown,6.8,-58.16,82.4,78,75,13.87
75,Ponta do Sol,-20.63,-46,77.6,79,80,7.96
76,Urengoy,65.96,78.37,49.16,80,36,12.44
77,yeletskiy,,,,,,
78,saint-ambroise,,,,,,
79,illoqqortoormiut,,,,,,
80,ribeira grande,,,,,,
81,balikpapan,,,,,,
82,new norfolk,,,,,,
83,bengkulu,,,,,,
84,mataura,,,,,,
85,thompson,,,,,,
86,anadyr,,,,,,
87,nova olinda do norte,,,,,,
